style,intensity,topic,caption
dark,0.42,monday mornings,"Another day, another round of monday mornings."
genz,0.49,group projects,group projects but make it emotionally exhausting.
corporate,0.32,side hustles,Driving synergies to resolve side hustles.
sarcastic,0.48,exams,Nothing screams success like exams.
corporate,0.68,procrastination,Leveraging procrastination for improved outcomes.
sarcastic,0.68,exams,"exams? Yeah, what could possibly go wrong."
genz,0.36,salary negotiations,salary negotiations is literally my villain origin story
wholesome,0.86,long commutes,"No matter what, long commutes doesn’t define your worth."
genz,0.87,monday mornings,monday mornings is literally my villain origin story
wholesome,0.89,procrastination,You’re stronger than procrastination.
genz,0.79,interviews,interviews is literally my villain origin story
dark,0.79,interviews,"Another day, another round of interviews."
corporate,0.51,deadlines,Optimizing bandwidth to address deadlines.
genz,0.99,deadlines,deadlines?? nah bestie
wholesome,0.5,exams,One step at a time with exams. You’ve got this.
sarcastic,0.96,side hustles,"side hustles? Yeah, what could possibly go wrong."
sarcastic,0.73,procrastination,"Oh sure, because procrastination always works perfectly."
dark,0.29,procrastination,"Eventually, procrastination gets us all."
genz,0.96,burnout,burnout but make it emotionally exhausting.
genz,0.81,office politics,office politics is literally my villain origin story
wholesome,0.26,emails,"emails is hard, but you’re doing your best."
wholesome,0.67,waking up early,You’re stronger than waking up early.
genz,0.6,monday mornings,monday mornings?? nah bestie
sarcastic,0.59,performance reviews,"Oh sure, because performance reviews always works perfectly."
corporate,0.66,startups,Aligning stakeholders around startups.
corporate,0.49,interviews,Optimizing bandwidth to address interviews.
genz,0.35,salary negotiations,me dealing with salary negotiations: absolutely not.
sarcastic,0.44,deadlines,"deadlines? Yeah, what could possibly go wrong."
genz,0.7,interviews,interviews?? nah bestie
genz,0.46,exams,exams but make it emotionally exhausting.
dark,0.28,procrastination,procrastination never forgets. Never forgives.
wholesome,0.42,startups,One step at a time with startups. You’ve got this.
genz,0.74,emails,emails is literally my villain origin story
genz,0.58,burnout,burnout but make it emotionally exhausting.
sarcastic,0.48,exams,I love how exams ruins everything.
corporate,0.67,performance reviews,Optimizing bandwidth to address performance reviews.
wholesome,0.78,work-life balance,"No matter what, work-life balance doesn’t define your worth."
sarcastic,0.98,interviews,"Oh sure, because interviews always works perfectly."
corporate,0.75,long commutes,Driving synergies to resolve long commutes.
sarcastic,0.69,group projects,I love how group projects ruins everything.
wholesome,0.83,exams,One step at a time with exams. You’ve got this.
genz,0.95,office politics,me dealing with office politics: absolutely not.
genz,0.5,salary negotiations,me dealing with salary negotiations: absolutely not.
corporate,0.24,job applications,Leveraging job applications for improved outcomes.
corporate,0.36,interviews,Optimizing bandwidth to address interviews.
genz,0.68,procrastination,procrastination?? nah bestie
genz,0.49,presentations,presentations but make it emotionally exhausting.
dark,0.4,office politics,"Eventually, office politics gets us all."
dark,0.59,long commutes,"Eventually, long commutes gets us all."
corporate,0.29,side hustles,Driving synergies to resolve side hustles.
genz,0.26,procrastination,me dealing with procrastination: absolutely not.
genz,0.31,group projects,me dealing with group projects: absolutely not.
dark,0.23,burnout,"Another day, another round of burnout."
corporate,0.86,emails,Leveraging emails for improved outcomes.
wholesome,0.64,procrastination,One step at a time with procrastination. You’ve got this.
dark,0.88,presentations,"Eventually, presentations gets us all."
genz,1.0,exams,exams is literally my villain origin story
sarcastic,0.69,college life,I love how college life ruins everything.
wholesome,0.74,office politics,"office politics is hard, but you’re doing your best."
wholesome,0.56,deadlines,"deadlines is hard, but you’re doing your best."
dark,0.55,interviews,"Eventually, interviews gets us all."
sarcastic,0.89,deadlines,Nothing screams success like deadlines.
wholesome,0.46,deadlines,"deadlines is hard, but you’re doing your best."
corporate,0.5,college life,Driving synergies to resolve college life.
corporate,0.21,work-life balance,Driving synergies to resolve work-life balance.
corporate,0.45,emails,Aligning stakeholders around emails.
sarcastic,0.72,deadlines,"deadlines? Yeah, what could possibly go wrong."
wholesome,0.82,long commutes,You’re stronger than long commutes.
genz,0.76,performance reviews,performance reviews is literally my villain origin story
wholesome,0.75,job applications,One step at a time with job applications. You’ve got this.
sarcastic,0.21,long commutes,"Oh sure, because long commutes always works perfectly."
dark,0.33,exams,"Eventually, exams gets us all."
genz,0.86,group projects,group projects?? nah bestie
dark,0.51,emails,"Eventually, emails gets us all."
dark,0.84,monday mornings,monday mornings never forgets. Never forgives.
dark,0.8,performance reviews,"Another day, another round of performance reviews."
wholesome,0.89,exams,You’re stronger than exams.
sarcastic,0.97,office politics,Nothing screams success like office politics.
sarcastic,0.22,monday mornings,I love how monday mornings ruins everything.
dark,0.88,emails,"Eventually, emails gets us all."
sarcastic,0.81,side hustles,Nothing screams success like side hustles.
dark,0.27,group projects,group projects is just a reminder that time is winning.
corporate,0.52,salary negotiations,Driving synergies to resolve salary negotiations.
corporate,0.29,meetings,Driving synergies to resolve meetings.
dark,0.84,job applications,"Another day, another round of job applications."
corporate,0.79,deadlines,Aligning stakeholders around deadlines.
wholesome,0.54,performance reviews,"No matter what, performance reviews doesn’t define your worth."
wholesome,0.85,startups,"No matter what, startups doesn’t define your worth."
wholesome,0.55,startups,"startups is hard, but you’re doing your best."
corporate,0.65,waking up early,Aligning stakeholders around waking up early.
corporate,0.43,procrastination,Leveraging procrastination for improved outcomes.
wholesome,0.47,waking up early,One step at a time with waking up early. You’ve got this.
sarcastic,0.99,meetings,Nothing screams success like meetings.
dark,0.77,monday mornings,"Eventually, monday mornings gets us all."
dark,0.57,side hustles,"Another day, another round of side hustles."
genz,0.31,performance reviews,performance reviews?? nah bestie
wholesome,0.47,burnout,"No matter what, burnout doesn’t define your worth."
sarcastic,0.25,waking up early,"Oh sure, because waking up early always works perfectly."
genz,0.88,college life,college life?? nah bestie
corporate,0.38,exams,Driving synergies to resolve exams.
wholesome,0.46,meetings,"No matter what, meetings doesn’t define your worth."
sarcastic,0.47,deadlines,"Oh sure, because deadlines always works perfectly."
wholesome,0.52,burnout,"No matter what, burnout doesn’t define your worth."
sarcastic,0.76,group projects,"Oh sure, because group projects always works perfectly."
genz,0.22,exams,exams?? nah bestie
sarcastic,0.5,office politics,I love how office politics ruins everything.
dark,0.21,procrastination,"Another day, another round of procrastination."
wholesome,0.71,long commutes,One step at a time with long commutes. You’ve got this.
wholesome,0.51,waking up early,One step at a time with waking up early. You’ve got this.
wholesome,0.91,presentations,"presentations is hard, but you’re doing your best."
wholesome,0.91,interviews,One step at a time with interviews. You’ve got this.
sarcastic,0.28,presentations,I love how presentations ruins everything.
wholesome,0.39,job applications,One step at a time with job applications. You’ve got this.
sarcastic,0.73,burnout,Nothing screams success like burnout.
dark,0.65,procrastination,procrastination is just a reminder that time is winning.
corporate,0.97,presentations,Aligning stakeholders around presentations.
dark,0.92,side hustles,"Another day, another round of side hustles."
sarcastic,0.99,procrastination,"Oh sure, because procrastination always works perfectly."
genz,0.42,work-life balance,work-life balance?? nah bestie
genz,0.33,meetings,meetings is literally my villain origin story
wholesome,0.39,long commutes,You’re stronger than long commutes.
sarcastic,0.69,work-life balance,Nothing screams success like work-life balance.
wholesome,0.76,deadlines,You’re stronger than deadlines.
genz,0.83,long commutes,long commutes?? nah bestie
dark,0.27,job applications,"Eventually, job applications gets us all."
corporate,0.44,presentations,Optimizing bandwidth to address presentations.
genz,0.35,office politics,office politics is literally my villain origin story
sarcastic,0.26,group projects,"group projects? Yeah, what could possibly go wrong."
sarcastic,0.67,office politics,"Oh sure, because office politics always works perfectly."
dark,0.7,burnout,"Eventually, burnout gets us all."
wholesome,0.59,emails,You’re stronger than emails.
wholesome,0.81,long commutes,"No matter what, long commutes doesn’t define your worth."
corporate,0.22,monday mornings,Aligning stakeholders around monday mornings.
dark,0.87,exams,exams is just a reminder that time is winning.
genz,0.55,long commutes,long commutes is literally my villain origin story
dark,0.49,job applications,"Eventually, job applications gets us all."
corporate,0.46,side hustles,Aligning stakeholders around side hustles.
sarcastic,0.6,burnout,"Oh sure, because burnout always works perfectly."
wholesome,0.95,emails,One step at a time with emails. You’ve got this.
sarcastic,0.71,office politics,"Oh sure, because office politics always works perfectly."
dark,0.7,long commutes,"Another day, another round of long commutes."
corporate,0.85,waking up early,Driving synergies to resolve waking up early.
genz,0.44,college life,college life but make it emotionally exhausting.
sarcastic,0.35,burnout,"burnout? Yeah, what could possibly go wrong."
corporate,0.9,performance reviews,Driving synergies to resolve performance reviews.
sarcastic,0.86,meetings,"Oh sure, because meetings always works perfectly."
corporate,0.59,waking up early,Optimizing bandwidth to address waking up early.
sarcastic,0.5,waking up early,I love how waking up early ruins everything.
corporate,0.45,startups,Aligning stakeholders around startups.
corporate,0.57,salary negotiations,Aligning stakeholders around salary negotiations.
wholesome,0.52,group projects,One step at a time with group projects. You’ve got this.
wholesome,0.63,work-life balance,"No matter what, work-life balance doesn’t define your worth."
genz,0.78,work-life balance,work-life balance but make it emotionally exhausting.
corporate,0.86,presentations,Optimizing bandwidth to address presentations.
sarcastic,0.2,monday mornings,"monday mornings? Yeah, what could possibly go wrong."
wholesome,0.32,long commutes,"No matter what, long commutes doesn’t define your worth."
dark,0.91,salary negotiations,"Eventually, salary negotiations gets us all."
sarcastic,0.58,job applications,"job applications? Yeah, what could possibly go wrong."
dark,0.25,long commutes,long commutes is just a reminder that time is winning.
wholesome,0.23,office politics,"office politics is hard, but you’re doing your best."
genz,0.48,deadlines,deadlines is literally my villain origin story
corporate,0.96,waking up early,Driving synergies to resolve waking up early.
dark,0.68,interviews,interviews is just a reminder that time is winning.
wholesome,0.31,emails,One step at a time with emails. You’ve got this.
corporate,0.29,office politics,Driving synergies to resolve office politics.
corporate,0.33,procrastination,Driving synergies to resolve procrastination.
dark,0.91,work-life balance,"Another day, another round of work-life balance."
genz,0.91,interviews,me dealing with interviews: absolutely not.
sarcastic,0.65,deadlines,"Oh sure, because deadlines always works perfectly."
genz,0.56,salary negotiations,me dealing with salary negotiations: absolutely not.
wholesome,1.0,procrastination,"procrastination is hard, but you’re doing your best."
dark,0.35,startups,startups is just a reminder that time is winning.
wholesome,0.57,salary negotiations,You’re stronger than salary negotiations.
wholesome,0.72,deadlines,"deadlines is hard, but you’re doing your best."
corporate,0.93,side hustles,Optimizing bandwidth to address side hustles.
corporate,0.86,monday mornings,Optimizing bandwidth to address monday mornings.
dark,0.39,performance reviews,performance reviews never forgets. Never forgives.
wholesome,0.87,work-life balance,"No matter what, work-life balance doesn’t define your worth."
genz,0.71,side hustles,side hustles?? nah bestie
wholesome,0.28,work-life balance,"No matter what, work-life balance doesn’t define your worth."
dark,0.52,job applications,job applications is just a reminder that time is winning.
dark,0.79,waking up early,"Eventually, waking up early gets us all."
wholesome,0.82,office politics,You’re stronger than office politics.
corporate,0.97,performance reviews,Driving synergies to resolve performance reviews.
corporate,0.23,office politics,Optimizing bandwidth to address office politics.
corporate,0.41,group projects,Aligning stakeholders around group projects.
sarcastic,0.54,work-life balance,Nothing screams success like work-life balance.
sarcastic,0.97,salary negotiations,"salary negotiations? Yeah, what could possibly go wrong."
wholesome,0.62,long commutes,"No matter what, long commutes doesn’t define your worth."
sarcastic,0.86,burnout,"burnout? Yeah, what could possibly go wrong."
genz,0.44,presentations,presentations but make it emotionally exhausting.
dark,0.57,waking up early,"Another day, another round of waking up early."
sarcastic,0.56,meetings,Nothing screams success like meetings.
corporate,0.28,group projects,Aligning stakeholders around group projects.
corporate,0.33,interviews,Leveraging interviews for improved outcomes.
genz,0.25,college life,college life is literally my villain origin story
corporate,0.68,meetings,Aligning stakeholders around meetings.
genz,0.2,long commutes,long commutes is literally my villain origin story
dark,0.22,deadlines,deadlines never forgets. Never forgives.
genz,0.74,job applications,job applications is literally my villain origin story
wholesome,0.33,startups,One step at a time with startups. You’ve got this.
dark,0.35,burnout,"Another day, another round of burnout."
dark,0.48,job applications,"Another day, another round of job applications."
sarcastic,0.9,startups,"Oh sure, because startups always works perfectly."
dark,0.54,waking up early,waking up early is just a reminder that time is winning.
wholesome,0.87,group projects,"group projects is hard, but you’re doing your best."
wholesome,0.53,startups,"No matter what, startups doesn’t define your worth."
wholesome,0.47,college life,You’re stronger than college life.
corporate,0.28,emails,Leveraging emails for improved outcomes.
genz,0.81,office politics,office politics but make it emotionally exhausting.
corporate,0.83,exams,Optimizing bandwidth to address exams.
dark,0.52,long commutes,"Another day, another round of long commutes."
sarcastic,0.3,job applications,I love how job applications ruins everything.
corporate,0.64,exams,Optimizing bandwidth to address exams.
sarcastic,0.25,exams,I love how exams ruins everything.
sarcastic,0.6,presentations,"Oh sure, because presentations always works perfectly."
corporate,0.4,long commutes,Driving synergies to resolve long commutes.
wholesome,0.39,startups,One step at a time with startups. You’ve got this.
genz,0.29,job applications,job applications but make it emotionally exhausting.
corporate,0.29,procrastination,Leveraging procrastination for improved outcomes.
dark,0.23,startups,"Another day, another round of startups."
wholesome,0.38,deadlines,One step at a time with deadlines. You’ve got this.
wholesome,0.72,startups,One step at a time with startups. You’ve got this.
corporate,0.35,startups,Driving synergies to resolve startups.
genz,0.55,emails,emails but make it emotionally exhausting.
corporate,0.26,waking up early,Driving synergies to resolve waking up early.
sarcastic,0.94,work-life balance,Nothing screams success like work-life balance.
corporate,0.34,meetings,Aligning stakeholders around meetings.
wholesome,0.87,emails,You’re stronger than emails.
dark,0.97,monday mornings,"Another day, another round of monday mornings."
genz,0.68,presentations,presentations is literally my villain origin story
sarcastic,0.82,waking up early,"waking up early? Yeah, what could possibly go wrong."
genz,0.7,work-life balance,me dealing with work-life balance: absolutely not.
wholesome,0.48,waking up early,"waking up early is hard, but you’re doing your best."
genz,0.59,group projects,group projects is literally my villain origin story
corporate,0.23,meetings,Leveraging meetings for improved outcomes.
sarcastic,0.72,emails,"Oh sure, because emails always works perfectly."
dark,0.42,presentations,presentations is just a reminder that time is winning.
corporate,0.33,meetings,Aligning stakeholders around meetings.
corporate,0.74,waking up early,Driving synergies to resolve waking up early.
corporate,0.38,performance reviews,Optimizing bandwidth to address performance reviews.
sarcastic,0.96,meetings,Nothing screams success like meetings.
corporate,0.35,interviews,Optimizing bandwidth to address interviews.
sarcastic,0.93,college life,"college life? Yeah, what could possibly go wrong."
corporate,0.55,meetings,Aligning stakeholders around meetings.
sarcastic,0.54,long commutes,"long commutes? Yeah, what could possibly go wrong."
dark,0.54,emails,"Another day, another round of emails."
sarcastic,0.57,startups,"Oh sure, because startups always works perfectly."
sarcastic,0.61,startups,"Oh sure, because startups always works perfectly."
wholesome,0.4,performance reviews,One step at a time with performance reviews. You’ve got this.
wholesome,0.6,exams,"No matter what, exams doesn’t define your worth."
genz,0.57,waking up early,waking up early is literally my villain origin story
dark,0.87,job applications,"Another day, another round of job applications."
wholesome,0.27,interviews,"No matter what, interviews doesn’t define your worth."
genz,0.28,waking up early,waking up early but make it emotionally exhausting.
genz,0.74,college life,college life but make it emotionally exhausting.
wholesome,0.34,burnout,You’re stronger than burnout.
corporate,0.2,interviews,Aligning stakeholders around interviews.
genz,0.44,procrastination,procrastination?? nah bestie
genz,0.77,work-life balance,work-life balance is literally my villain origin story
genz,0.35,side hustles,side hustles is literally my villain origin story
dark,0.57,college life,college life is just a reminder that time is winning.
wholesome,0.79,monday mornings,"monday mornings is hard, but you’re doing your best."
genz,0.96,group projects,me dealing with group projects: absolutely not.
corporate,0.6,work-life balance,Optimizing bandwidth to address work-life balance.
genz,0.5,college life,college life but make it emotionally exhausting.
corporate,0.34,startups,Optimizing bandwidth to address startups.
corporate,0.31,side hustles,Optimizing bandwidth to address side hustles.
dark,0.88,monday mornings,monday mornings is just a reminder that time is winning.
corporate,0.3,meetings,Leveraging meetings for improved outcomes.
sarcastic,0.83,job applications,"job applications? Yeah, what could possibly go wrong."
corporate,0.5,college life,Driving synergies to resolve college life.
corporate,0.34,salary negotiations,Leveraging salary negotiations for improved outcomes.
wholesome,0.68,meetings,"meetings is hard, but you’re doing your best."
corporate,0.72,emails,Optimizing bandwidth to address emails.
sarcastic,0.73,emails,"Oh sure, because emails always works perfectly."
sarcastic,0.66,group projects,I love how group projects ruins everything.
corporate,0.8,side hustles,Driving synergies to resolve side hustles.
sarcastic,0.59,startups,"startups? Yeah, what could possibly go wrong."
corporate,0.56,office politics,Driving synergies to resolve office politics.
sarcastic,0.55,startups,"Oh sure, because startups always works perfectly."
corporate,0.39,emails,Driving synergies to resolve emails.
dark,0.59,startups,"Eventually, startups gets us all."
genz,0.88,waking up early,waking up early?? nah bestie
sarcastic,0.63,salary negotiations,I love how salary negotiations ruins everything.
dark,0.43,work-life balance,work-life balance never forgets. Never forgives.
genz,0.65,exams,exams is literally my villain origin story
sarcastic,0.21,job applications,Nothing screams success like job applications.
genz,0.27,deadlines,deadlines but make it emotionally exhausting.
corporate,0.86,exams,Driving synergies to resolve exams.
sarcastic,0.29,salary negotiations,"salary negotiations? Yeah, what could possibly go wrong."
wholesome,0.28,emails,You’re stronger than emails.
corporate,0.54,procrastination,Aligning stakeholders around procrastination.
genz,0.98,side hustles,side hustles?? nah bestie
genz,0.47,college life,me dealing with college life: absolutely not.
sarcastic,0.75,salary negotiations,Nothing screams success like salary negotiations.
dark,0.41,group projects,group projects never forgets. Never forgives.
genz,0.9,college life,college life?? nah bestie
dark,0.46,salary negotiations,"Another day, another round of salary negotiations."
sarcastic,0.99,meetings,"meetings? Yeah, what could possibly go wrong."
wholesome,0.68,deadlines,"No matter what, deadlines doesn’t define your worth."
sarcastic,0.42,group projects,"Oh sure, because group projects always works perfectly."
dark,0.75,performance reviews,performance reviews never forgets. Never forgives.
dark,0.65,work-life balance,"Eventually, work-life balance gets us all."
dark,0.81,emails,emails never forgets. Never forgives.
wholesome,0.94,interviews,"No matter what, interviews doesn’t define your worth."
wholesome,0.25,long commutes,One step at a time with long commutes. You’ve got this.
wholesome,0.23,presentations,"No matter what, presentations doesn’t define your worth."
genz,0.76,startups,startups?? nah bestie
genz,0.3,long commutes,long commutes is literally my villain origin story
corporate,0.85,college life,Driving synergies to resolve college life.
corporate,0.66,waking up early,Optimizing bandwidth to address waking up early.
corporate,1.0,college life,Optimizing bandwidth to address college life.
wholesome,0.21,procrastination,"procrastination is hard, but you’re doing your best."
dark,0.5,burnout,burnout never forgets. Never forgives.
genz,0.51,office politics,office politics but make it emotionally exhausting.
wholesome,0.39,emails,You’re stronger than emails.
corporate,0.54,waking up early,Aligning stakeholders around waking up early.
genz,0.67,side hustles,side hustles?? nah bestie
dark,0.76,waking up early,"Another day, another round of waking up early."
wholesome,0.24,salary negotiations,One step at a time with salary negotiations. You’ve got this.
genz,1.0,exams,exams but make it emotionally exhausting.
dark,0.98,startups,startups never forgets. Never forgives.
corporate,0.91,meetings,Leveraging meetings for improved outcomes.
wholesome,0.49,interviews,"interviews is hard, but you’re doing your best."
wholesome,0.55,waking up early,You’re stronger than waking up early.
wholesome,0.43,long commutes,One step at a time with long commutes. You’ve got this.
dark,0.71,long commutes,long commutes is just a reminder that time is winning.
genz,0.35,group projects,group projects but make it emotionally exhausting.
genz,0.69,salary negotiations,me dealing with salary negotiations: absolutely not.
dark,0.51,interviews,interviews is just a reminder that time is winning.
wholesome,0.59,meetings,One step at a time with meetings. You’ve got this.
corporate,0.85,office politics,Optimizing bandwidth to address office politics.
wholesome,0.97,office politics,One step at a time with office politics. You’ve got this.
sarcastic,0.56,presentations,I love how presentations ruins everything.
corporate,0.55,performance reviews,Leveraging performance reviews for improved outcomes.
wholesome,0.22,salary negotiations,"salary negotiations is hard, but you’re doing your best."
corporate,0.85,procrastination,Aligning stakeholders around procrastination.
dark,0.59,performance reviews,"Eventually, performance reviews gets us all."
dark,0.87,job applications,"Eventually, job applications gets us all."
genz,0.29,exams,exams but make it emotionally exhausting.
sarcastic,0.39,emails,Nothing screams success like emails.
wholesome,0.31,startups,One step at a time with startups. You’ve got this.
dark,0.24,procrastination,procrastination never forgets. Never forgives.
sarcastic,0.84,long commutes,I love how long commutes ruins everything.
dark,0.28,startups,"Another day, another round of startups."
genz,0.51,procrastination,procrastination is literally my villain origin story
wholesome,0.83,burnout,"No matter what, burnout doesn’t define your worth."
dark,0.5,work-life balance,"Another day, another round of work-life balance."
wholesome,0.49,burnout,"burnout is hard, but you’re doing your best."
sarcastic,0.44,job applications,"Oh sure, because job applications always works perfectly."
sarcastic,0.4,group projects,"group projects? Yeah, what could possibly go wrong."
sarcastic,0.29,deadlines,I love how deadlines ruins everything.
genz,0.3,office politics,office politics is literally my villain origin story
dark,0.55,salary negotiations,salary negotiations never forgets. Never forgives.
sarcastic,0.24,work-life balance,Nothing screams success like work-life balance.
wholesome,0.61,burnout,One step at a time with burnout. You’ve got this.
genz,0.81,long commutes,long commutes but make it emotionally exhausting.
sarcastic,0.78,salary negotiations,"Oh sure, because salary negotiations always works perfectly."
wholesome,0.35,procrastination,"No matter what, procrastination doesn’t define your worth."
dark,0.34,monday mornings,monday mornings never forgets. Never forgives.
dark,0.78,group projects,"Eventually, group projects gets us all."
sarcastic,0.74,presentations,"Oh sure, because presentations always works perfectly."
corporate,0.68,group projects,Aligning stakeholders around group projects.
corporate,0.55,long commutes,Optimizing bandwidth to address long commutes.
genz,0.75,salary negotiations,me dealing with salary negotiations: absolutely not.
wholesome,0.3,exams,You’re stronger than exams.
wholesome,0.65,exams,"No matter what, exams doesn’t define your worth."
corporate,0.43,performance reviews,Aligning stakeholders around performance reviews.
wholesome,0.35,group projects,One step at a time with group projects. You’ve got this.
corporate,0.77,college life,Leveraging college life for improved outcomes.
corporate,0.75,office politics,Aligning stakeholders around office politics.
dark,0.79,emails,"Another day, another round of emails."
dark,0.79,meetings,meetings never forgets. Never forgives.
wholesome,0.44,meetings,"meetings is hard, but you’re doing your best."
genz,0.71,job applications,job applications?? nah bestie
corporate,0.29,burnout,Optimizing bandwidth to address burnout.
dark,0.91,college life,college life never forgets. Never forgives.
wholesome,0.77,emails,You’re stronger than emails.
sarcastic,0.26,meetings,I love how meetings ruins everything.
dark,0.95,startups,"Eventually, startups gets us all."
sarcastic,0.28,interviews,I love how interviews ruins everything.
corporate,0.3,group projects,Leveraging group projects for improved outcomes.
corporate,0.38,waking up early,Aligning stakeholders around waking up early.
genz,0.76,work-life balance,work-life balance?? nah bestie
corporate,0.72,group projects,Driving synergies to resolve group projects.
corporate,0.42,interviews,Leveraging interviews for improved outcomes.
genz,0.78,group projects,group projects?? nah bestie
genz,0.36,monday mornings,monday mornings is literally my villain origin story
wholesome,0.46,meetings,You’re stronger than meetings.
genz,0.23,college life,me dealing with college life: absolutely not.
wholesome,0.47,side hustles,One step at a time with side hustles. You’ve got this.
sarcastic,0.86,burnout,I love how burnout ruins everything.
dark,0.96,work-life balance,"Eventually, work-life balance gets us all."
sarcastic,0.73,exams,I love how exams ruins everything.
sarcastic,0.24,burnout,"Oh sure, because burnout always works perfectly."
wholesome,0.47,meetings,One step at a time with meetings. You’ve got this.
genz,0.74,exams,exams?? nah bestie
genz,0.42,interviews,interviews?? nah bestie
dark,0.71,office politics,office politics never forgets. Never forgives.
dark,0.42,exams,exams never forgets. Never forgives.
dark,0.65,burnout,"Another day, another round of burnout."
sarcastic,0.27,exams,"Oh sure, because exams always works perfectly."
wholesome,0.95,group projects,"group projects is hard, but you’re doing your best."
dark,0.4,meetings,"Another day, another round of meetings."
dark,0.91,waking up early,waking up early never forgets. Never forgives.
corporate,0.68,work-life balance,Aligning stakeholders around work-life balance.
wholesome,0.59,office politics,"No matter what, office politics doesn’t define your worth."
wholesome,0.99,office politics,"office politics is hard, but you’re doing your best."
wholesome,0.26,waking up early,"waking up early is hard, but you’re doing your best."
sarcastic,0.39,group projects,"group projects? Yeah, what could possibly go wrong."
dark,0.4,salary negotiations,"Eventually, salary negotiations gets us all."
dark,0.46,deadlines,deadlines never forgets. Never forgives.
genz,0.72,interviews,interviews but make it emotionally exhausting.
dark,0.75,salary negotiations,salary negotiations is just a reminder that time is winning.
sarcastic,0.97,salary negotiations,"salary negotiations? Yeah, what could possibly go wrong."
corporate,0.72,salary negotiations,Driving synergies to resolve salary negotiations.
dark,0.88,meetings,meetings never forgets. Never forgives.
genz,0.56,group projects,group projects is literally my villain origin story
sarcastic,0.68,procrastination,"Oh sure, because procrastination always works perfectly."
wholesome,0.21,monday mornings,"monday mornings is hard, but you’re doing your best."
wholesome,0.26,salary negotiations,One step at a time with salary negotiations. You’ve got this.
sarcastic,0.23,long commutes,"long commutes? Yeah, what could possibly go wrong."
corporate,0.32,performance reviews,Leveraging performance reviews for improved outcomes.
dark,0.3,meetings,"Another day, another round of meetings."
genz,0.86,procrastination,me dealing with procrastination: absolutely not.
genz,0.49,presentations,me dealing with presentations: absolutely not.
corporate,0.7,exams,Leveraging exams for improved outcomes.
genz,0.86,deadlines,deadlines but make it emotionally exhausting.
wholesome,0.53,waking up early,"waking up early is hard, but you’re doing your best."
wholesome,0.47,group projects,One step at a time with group projects. You’ve got this.
wholesome,0.93,deadlines,"deadlines is hard, but you’re doing your best."
wholesome,0.29,long commutes,"long commutes is hard, but you’re doing your best."
wholesome,0.56,group projects,One step at a time with group projects. You’ve got this.
corporate,0.4,startups,Driving synergies to resolve startups.
wholesome,0.21,emails,You’re stronger than emails.
wholesome,0.58,emails,You’re stronger than emails.
sarcastic,0.71,long commutes,I love how long commutes ruins everything.
corporate,0.67,procrastination,Driving synergies to resolve procrastination.
genz,0.83,performance reviews,performance reviews is literally my villain origin story
dark,0.63,long commutes,long commutes is just a reminder that time is winning.
sarcastic,0.3,burnout,I love how burnout ruins everything.
genz,0.49,salary negotiations,salary negotiations but make it emotionally exhausting.
genz,0.21,startups,startups but make it emotionally exhausting.
sarcastic,0.38,waking up early,"Oh sure, because waking up early always works perfectly."
sarcastic,0.85,side hustles,"Oh sure, because side hustles always works perfectly."
corporate,0.53,salary negotiations,Aligning stakeholders around salary negotiations.
wholesome,0.56,emails,"No matter what, emails doesn’t define your worth."
corporate,0.78,interviews,Leveraging interviews for improved outcomes.
sarcastic,0.95,performance reviews,"Oh sure, because performance reviews always works perfectly."
sarcastic,0.38,presentations,Nothing screams success like presentations.
dark,0.4,group projects,"Another day, another round of group projects."
wholesome,0.85,procrastination,You’re stronger than procrastination.
corporate,0.57,deadlines,Leveraging deadlines for improved outcomes.
sarcastic,0.54,emails,"emails? Yeah, what could possibly go wrong."
dark,0.87,work-life balance,"Eventually, work-life balance gets us all."
dark,0.25,performance reviews,performance reviews never forgets. Never forgives.
wholesome,0.33,work-life balance,"work-life balance is hard, but you’re doing your best."
corporate,0.32,side hustles,Driving synergies to resolve side hustles.
corporate,0.81,college life,Optimizing bandwidth to address college life.
sarcastic,0.63,job applications,"job applications? Yeah, what could possibly go wrong."
genz,0.85,waking up early,waking up early but make it emotionally exhausting.
dark,0.69,procrastination,"Eventually, procrastination gets us all."
corporate,0.35,monday mornings,Leveraging monday mornings for improved outcomes.
wholesome,0.65,presentations,"No matter what, presentations doesn’t define your worth."
wholesome,0.47,office politics,You’re stronger than office politics.
wholesome,0.45,interviews,You’re stronger than interviews.
corporate,0.24,office politics,Leveraging office politics for improved outcomes.
genz,0.83,performance reviews,performance reviews?? nah bestie
wholesome,0.46,presentations,"No matter what, presentations doesn’t define your worth."
corporate,0.27,work-life balance,Optimizing bandwidth to address work-life balance.
dark,0.67,burnout,burnout is just a reminder that time is winning.
sarcastic,0.78,side hustles,"side hustles? Yeah, what could possibly go wrong."
wholesome,0.87,salary negotiations,"No matter what, salary negotiations doesn’t define your worth."
corporate,0.49,side hustles,Leveraging side hustles for improved outcomes.
corporate,0.8,long commutes,Aligning stakeholders around long commutes.
genz,0.54,salary negotiations,me dealing with salary negotiations: absolutely not.
wholesome,0.34,job applications,You’re stronger than job applications.
corporate,0.32,job applications,Driving synergies to resolve job applications.
dark,0.48,group projects,"Another day, another round of group projects."
corporate,0.66,group projects,Driving synergies to resolve group projects.
dark,0.98,emails,"Another day, another round of emails."
